Timestamp,Temperature(C),Humidity(%)
2021-11-28 23:30:55,33.4,22.4
2021-11-28 23:31:00,33.5,22.5
2021-11-28 23:31:05,33.5,22.5
2021-11-28 23:31:11,33.7,22.3
2021-11-28 23:31:16,33.8,22.0
2021-11-28 23:31:21,33.8,22.3
2021-11-28 23:31:26,33.9,21.9
2021-11-28 23:31:32,33.9,22.2
2021-11-28 23:31:42,34.0,21.9
2021-11-28 23:31:47,34.0,21.7
2021-11-28 23:31:58,34.1,22.0
2021-11-28 23:32:03,34.2,21.7
2021-11-28 23:32:09,34.2,21.8
2021-11-28 23:32:14,34.2,21.6
2021-11-28 23:32:19,34.2,21.6
2021-11-28 23:32:24,34.3,21.4
2021-11-28 23:32:30,34.4,21.7
2021-11-28 23:32:35,34.3,21.7
2021-11-28 23:32:40,34.4,21.3
2021-11-28 23:32:45,34.4,21.4
2021-11-28 23:32:51,34.4,21.3
2021-11-28 23:32:56,34.5,21.3
2021-11-28 23:33:01,34.4,21.5
2021-11-28 23:33:07,34.4,21.4
2021-11-28 23:33:12,34.4,21.4
2021-11-28 23:33:22,34.5,21.3
2021-11-28 23:33:28,34.5,21.2
2021-11-28 23:33:33,34.5,21.2
2021-11-28 23:33:38,34.4,21.3
2021-11-28 23:33:44,34.4,21.2
2021-11-28 23:33:49,34.5,21.2
2021-11-28 23:33:54,34.5,21.1
2021-11-28 23:33:59,34.5,21.2
2021-11-28 23:34:05,34.5,21.0
2021-11-28 23:34:10,34.4,21.0
2021-11-28 23:34:15,34.5,21.0
2021-11-28 23:34:21,34.4,21.1
2021-11-28 23:34:26,34.4,21.0
2021-11-28 23:34:31,34.4,21.1
2021-11-28 23:34:36,34.3,21.1
2021-11-28 23:34:42,34.4,21.2
2021-11-28 23:34:47,34.4,21.0
2021-11-28 23:34:52,34.4,21.1
2021-11-28 23:34:57,34.3,21.4
2021-11-28 23:35:03,34.3,21.1
2021-11-28 23:35:08,34.3,21.3
2021-11-28 23:35:13,34.3,21.2
2021-11-28 23:35:19,34.2,21.1
2021-11-28 23:35:24,34.2,21.5
2021-11-28 23:35:29,34.2,21.5
2021-11-28 23:35:40,34.2,21.2
2021-11-28 23:35:45,34.1,21.1
2021-11-28 23:35:50,34.0,21.3
2021-11-28 23:35:56,34.0,21.2
2021-11-28 23:36:02,34.0,21.1
2021-11-28 23:36:08,34.0,21.4
2021-11-28 23:36:13,34.0,21.4
2021-11-28 23:36:18,34.0,21.5
2021-11-28 23:36:23,34.0,21.6
2021-11-28 23:36:29,33.9,21.4
2021-11-28 23:36:34,33.8,21.6
2021-11-28 23:36:39,33.8,21.4
2021-11-28 23:36:50,33.8,21.4
2021-11-28 23:36:55,33.7,21.6
2021-11-28 23:37:00,33.7,21.6
2021-11-28 23:37:06,33.7,21.7
2021-11-28 23:37:11,33.6,21.8
2021-11-28 23:37:16,33.6,22.1
2021-11-28 23:37:21,33.5,21.4
2021-11-28 23:37:27,33.6,21.4
2021-11-28 23:37:32,33.5,21.6
2021-11-28 23:37:37,33.4,21.7
2021-11-28 23:37:42,33.5,21.9
2021-11-28 23:37:48,33.4,21.8
2021-11-28 23:37:53,33.4,21.8
2021-11-28 23:37:58,33.3,22.0
2021-11-28 23:38:04,33.3,21.7
2021-11-28 23:38:09,33.3,21.9
2021-11-28 23:38:14,33.3,21.8
2021-11-28 23:38:19,33.1,22.0
2021-11-28 23:38:25,33.1,22.0
2021-11-28 23:38:30,33.1,21.8
2021-11-28 23:38:35,33.1,22.3
2021-11-28 23:38:41,33.1,22.3
2021-11-28 23:38:46,33.1,22.4
2021-11-28 23:38:51,33.1,22.3
2021-11-28 23:38:57,33.0,22.6
2021-11-28 23:39:02,33.0,22.2
2021-11-28 23:39:07,33.0,22.1
2021-11-28 23:39:12,33.0,22.3
2021-11-28 23:39:23,33.1,22.5
2021-11-28 23:39:28,33.0,22.5
2021-11-28 23:39:34,33.0,22.1
2021-11-28 23:39:39,33.0,22.5
2021-11-28 23:39:44,32.9,22.5
2021-11-28 23:39:49,33.1,22.8
2021-11-28 23:39:55,33.0,22.3
2021-11-28 23:40:00,32.9,22.5
2021-11-28 23:40:05,33.0,22.5
2021-11-28 23:40:10,32.9,22.4
2021-11-28 23:40:16,32.9,22.6
2021-11-28 23:40:21,32.9,22.4
2021-11-28 23:40:26,33.0,22.2
2021-11-28 23:40:32,32.9,22.1
2021-11-28 23:40:37,32.9,22.1
2021-11-28 23:40:42,32.9,22.4
2021-11-28 23:40:47,32.9,22.6
2021-11-28 23:40:53,32.9,22.4
2021-11-28 23:40:58,32.8,22.3
2021-11-28 23:41:04,33.0,22.1
2021-11-28 23:41:14,32.9,22.3
2021-11-28 23:41:20,32.9,22.2
2021-11-28 23:41:25,32.9,22.3
2021-11-28 23:41:30,32.9,22.2
2021-11-28 23:41:36,32.9,22.8
2021-11-28 23:41:41,32.9,22.4
2021-11-28 23:41:46,32.9,22.2
2021-11-28 23:41:52,33.0,22.2
2021-11-28 23:41:57,32.9,22.4
2021-11-28 23:42:02,32.9,22.4
2021-11-28 23:42:13,33.0,22.4
2021-11-28 23:42:18,32.9,22.2
2021-11-28 23:42:24,33.0,22.4
2021-11-28 23:42:29,33.0,22.2
2021-11-28 23:42:34,33.0,22.5
2021-11-28 23:42:39,33.0,22.1
2021-11-28 23:42:45,32.9,22.5
2021-11-28 23:42:50,33.0,22.4
2021-11-28 23:42:55,32.9,22.5
2021-11-28 23:43:00,33.0,22.7
2021-11-28 23:43:06,33.0,22.2
2021-11-28 23:43:11,33.0,22.4
2021-11-28 23:43:22,32.9,22.2
2021-11-28 23:43:27,32.9,22.5
2021-11-28 23:43:32,32.9,22.0
2021-11-28 23:43:37,32.9,22.1
2021-11-28 23:43:43,33.0,22.3
2021-11-28 23:43:48,33.0,22.3
2021-11-28 23:43:58,33.0,22.2
2021-11-28 23:44:04,32.9,22.1
2021-11-28 23:44:09,33.0,22.4
2021-11-28 23:44:14,33.1,22.3
2021-11-28 23:44:20,33.0,22.3
2021-11-28 23:44:25,33.0,22.3
2021-11-28 23:44:30,33.0,22.0
2021-11-28 23:44:35,33.1,22.1
2021-11-28 23:44:46,33.0,22.5
2021-11-28 23:44:51,33.0,22.1
2021-11-28 23:44:57,33.0,22.4
2021-11-28 23:45:02,33.0,22.3
2021-11-28 23:45:07,33.0,22.1
2021-11-28 23:45:13,33.1,21.9
2021-11-28 23:45:18,32.9,22.2
2021-11-28 23:45:23,33.1,21.9
2021-11-28 23:45:34,33.1,22.4
2021-11-28 23:45:39,33.1,22.3
2021-11-28 23:45:45,33.1,22.7
2021-11-28 23:45:50,33.1,22.1
2021-11-28 23:45:55,33.1,22.5
2021-11-28 23:46:00,33.1,22.4
2021-11-28 23:46:06,33.1,22.2
2021-11-28 23:46:11,33.0,22.1
2021-11-28 23:46:16,33.1,22.2
2021-11-28 23:46:21,33.1,22.3
2021-11-28 23:46:27,33.1,22.3
2021-11-28 23:46:32,33.0,22.4
2021-11-28 23:46:37,33.0,22.2
2021-11-28 23:46:43,33.1,22.2
2021-11-28 23:46:48,33.0,22.1
2021-11-28 23:46:53,33.1,22.2
2021-11-28 23:46:58,33.0,22.0
2021-11-28 23:47:04,33.1,22.3
2021-11-28 23:47:09,33.0,22.3
2021-11-28 23:47:14,33.1,22.1
2021-11-28 23:47:19,33.2,22.4
2021-11-28 23:47:25,33.1,22.0
2021-11-28 23:47:30,33.1,22.5
2021-11-28 23:47:35,33.1,21.9
2021-11-28 23:47:41,33.1,22.0
2021-11-28 23:47:46,33.0,22.1
2021-11-28 23:47:51,33.2,22.3
2021-11-28 23:47:57,33.1,22.5
2021-11-28 23:48:02,33.1,22.2
2021-11-28 23:48:07,33.1,22.0
2021-11-28 23:48:13,33.1,22.0
2021-11-28 23:48:18,33.1,22.4
2021-11-28 23:48:23,33.1,22.1
2021-11-28 23:48:28,33.1,22.0
2021-11-28 23:48:34,33.2,22.0
2021-11-28 23:48:39,33.0,21.8
2021-11-28 23:48:44,33.1,22.3
2021-11-28 23:48:50,33.1,22.1
2021-11-28 23:48:55,33.2,22.1
2021-11-28 23:49:00,33.1,22.0
2021-11-28 23:49:06,33.1,21.8
2021-11-28 23:49:11,33.2,22.1
2021-11-28 23:49:16,33.1,21.9
2021-11-28 23:49:21,33.1,22.2
2021-11-28 23:49:27,33.1,22.4
2021-11-28 23:49:32,33.2,21.9
2021-11-28 23:49:37,33.1,22.0
2021-11-28 23:49:43,33.2,22.1
2021-11-28 23:49:48,33.1,21.9
2021-11-28 23:49:58,33.1,21.9
2021-11-28 23:50:04,33.2,21.8
2021-11-28 23:50:09,33.1,22.1
2021-11-28 23:50:14,33.1,21.8
2021-11-28 23:50:19,33.2,22.0
2021-11-28 23:50:25,33.1,21.9
2021-11-28 23:50:30,33.2,22.2
2021-11-28 23:50:35,33.2,21.9
2021-11-28 23:50:46,33.3,22.0
2021-11-28 23:50:51,33.2,22.0
2021-11-28 23:50:56,33.1,22.0
2021-11-28 23:51:07,33.1,22.0
2021-11-28 23:51:12,33.1,21.8
2021-11-28 23:51:23,33.2,21.9
2021-11-28 23:51:28,33.2,22.0
2021-11-28 23:51:34,33.2,21.8
2021-11-28 23:51:39,33.2,22.0
2021-11-28 23:51:44,33.2,22.1
2021-11-28 23:51:50,33.2,22.5
2021-11-28 23:51:55,33.2,22.0
2021-11-28 23:52:00,33.1,22.1
2021-11-28 23:52:06,33.2,22.3
2021-11-28 23:52:11,33.2,22.1
2021-11-28 23:52:16,33.2,22.3
2021-11-28 23:52:21,33.2,21.9
2021-11-28 23:52:27,33.2,21.8
2021-11-28 23:52:32,33.2,22.2
2021-11-28 23:52:37,33.2,21.9
2021-11-28 23:52:42,33.1,22.2
2021-11-28 23:52:48,33.2,22.3
2021-11-28 23:52:53,33.2,22.0
2021-11-28 23:52:58,33.1,21.9
2021-11-28 23:53:04,33.2,22.1
2021-11-28 23:53:09,33.2,22.3
2021-11-28 23:53:19,33.1,22.0
2021-11-28 23:53:25,33.2,22.0
2021-11-28 23:53:30,33.2,22.0
2021-11-28 23:53:35,33.2,21.9
2021-11-28 23:53:41,33.2,22.0
2021-11-28 23:53:46,33.2,21.7
2021-11-28 23:53:51,33.2,21.9
2021-11-28 23:54:02,33.2,22.0
2021-11-28 23:54:07,33.2,22.2
2021-11-28 23:54:12,33.2,22.0
2021-11-28 23:54:18,33.2,22.1
2021-11-28 23:54:23,33.2,22.0
2021-11-28 23:54:28,33.2,22.0
2021-11-28 23:54:33,33.2,22.1
2021-11-28 23:54:39,33.2,21.9
2021-11-28 23:54:44,33.2,21.9
2021-11-28 23:54:49,33.2,22.2
2021-11-28 23:54:54,33.2,22.1
2021-11-28 23:55:00,33.2,21.8
2021-11-28 23:55:05,33.2,22.0
2021-11-28 23:55:10,33.2,21.8
2021-11-28 23:55:21,33.2,21.9
2021-11-28 23:55:26,33.2,21.7
2021-11-28 23:55:37,33.2,22.1
2021-11-28 23:55:42,33.2,22.0
2021-11-28 23:55:47,33.1,21.8
2021-11-28 23:55:52,33.2,21.9
2021-11-28 23:55:58,33.1,21.8
2021-11-28 23:56:03,33.3,21.9
2021-11-28 23:56:08,33.3,22.0
2021-11-28 23:56:14,33.2,21.9
2021-11-28 23:56:19,33.2,22.0
2021-11-28 23:56:24,33.3,22.1
2021-11-28 23:56:29,33.2,21.7
2021-11-28 23:56:35,33.3,22.1
2021-11-28 23:56:40,33.2,21.6
2021-11-28 23:56:45,33.2,22.2
2021-11-28 23:56:51,33.2,21.8
2021-11-28 23:56:56,33.2,22.0
2021-11-28 23:57:01,33.2,21.9
2021-11-28 23:57:07,33.2,21.8
2021-11-28 23:57:12,33.2,21.9
2021-11-28 23:57:17,33.3,21.8
2021-11-28 23:57:23,33.2,21.9
2021-11-28 23:57:28,33.2,22.1
2021-11-28 23:57:33,33.2,22.2
2021-11-28 23:57:38,33.2,22.1
2021-11-28 23:57:44,33.2,22.0
2021-11-28 23:57:49,33.2,22.0
2021-11-28 23:57:54,33.3,22.0
2021-11-28 23:58:00,33.3,22.0
2021-11-28 23:58:05,33.2,21.6
2021-11-28 23:58:10,33.2,22.0
2021-11-28 23:58:16,33.2,22.0
2021-11-28 23:58:21,33.3,21.9
2021-11-28 23:58:26,33.2,22.0
2021-11-28 23:58:32,33.2,22.0
2021-11-28 23:58:37,33.3,21.9
2021-11-28 23:58:53,33.2,21.6
2021-11-28 23:58:58,33.2,22.0
2021-11-28 23:59:03,33.2,21.8
2021-11-28 23:59:08,33.3,21.9
2021-11-28 23:59:14,33.2,21.8
2021-11-28 23:59:19,33.3,21.8
2021-11-28 23:59:24,33.3,21.9
2021-11-28 23:59:30,33.2,21.8
2021-11-28 23:59:35,33.3,21.5
2021-11-28 23:59:40,33.3,21.7
2021-11-28 23:59:46,33.2,22.1
2021-11-28 23:59:51,33.3,21.7
2021-11-28 23:59:56,33.2,21.8
2021-11-29 00:00:01,33.3,21.8
2021-11-29 00:00:07,33.3,21.8
2021-11-29 00:00:12,33.3,21.8
2021-11-29 00:00:17,33.2,21.8
2021-11-29 00:00:23,33.3,21.9
2021-11-29 00:00:28,33.2,22.2
2021-11-29 00:00:33,33.2,22.1
2021-11-29 00:00:38,33.2,22.0
2021-11-29 00:00:44,33.2,22.0
2021-11-29 00:00:49,33.2,21.8
2021-11-29 00:00:54,33.2,21.7
2021-11-29 00:00:59,33.3,22.0
2021-11-29 00:01:05,33.2,22.0
2021-11-29 00:01:10,33.2,21.7
2021-11-29 00:01:15,33.3,21.9
2021-11-29 00:01:21,33.2,22.0
2021-11-29 00:01:26,33.2,21.9
2021-11-29 00:01:31,33.3,22.1
2021-11-29 00:01:47,33.3,21.9
2021-11-29 00:01:52,33.2,21.7
2021-11-29 00:01:58,33.2,22.0
2021-11-29 00:02:03,33.3,21.9
2021-11-29 00:02:08,33.2,21.9
2021-11-29 00:02:13,33.3,21.7
2021-11-29 00:02:19,33.3,22.1
2021-11-29 00:02:24,33.2,21.8
2021-11-29 00:02:29,33.2,21.9
2021-11-29 00:02:35,33.2,21.8
2021-11-29 00:02:40,33.3,21.7
2021-11-29 00:02:45,33.3,21.8
2021-11-29 00:02:50,33.3,21.8
2021-11-29 00:02:56,33.3,21.8
2021-11-29 00:03:01,33.2,21.8
2021-11-29 00:03:06,33.3,21.7
2021-11-29 00:03:11,33.4,21.9
2021-11-29 00:03:22,33.3,21.6
2021-11-29 00:03:27,33.3,21.7
2021-11-29 00:03:33,33.3,21.8
2021-11-29 00:03:38,33.3,21.6
2021-11-29 00:03:43,33.2,21.6
2021-11-29 00:03:48,33.3,21.7
2021-11-29 00:03:54,33.3,21.8
2021-11-29 00:03:59,33.3,21.8
2021-11-29 00:04:04,33.2,21.9
2021-11-29 00:04:10,33.2,21.8
2021-11-29 00:04:15,33.2,21.8
2021-11-29 00:04:20,33.3,22.0
2021-11-29 00:04:25,33.3,21.8
2021-11-29 00:04:31,33.3,21.6
2021-11-29 00:04:36,33.2,21.9
2021-11-29 00:04:41,33.3,22.0
2021-11-29 00:04:46,33.3,21.6
2021-11-29 00:04:52,33.3,21.7
2021-11-29 00:04:57,33.3,21.9
2021-11-29 00:05:02,33.3,22.0
2021-11-29 00:05:08,33.3,21.9
2021-11-29 00:05:13,33.3,21.8
2021-11-29 00:05:18,33.3,22.0
2021-11-29 00:05:24,33.3,21.6
2021-11-29 00:05:29,33.3,22.0
2021-11-29 00:05:34,33.3,21.9
2021-11-29 00:05:39,33.3,22.0
2021-11-29 00:05:45,33.3,22.0
2021-11-29 00:05:50,33.3,21.9
2021-11-29 00:05:55,33.4,21.6
2021-11-29 00:06:06,33.3,21.9
2021-11-29 00:06:11,33.3,21.9
